subject,description,createdon,duedate,accountid,statecode,statuscode
Sample Letter Subject 1,Sample Letter Description1,09-26-2009,12-21-2009,A. Datum Corporation,Completed,Sent
Sample Letter Subject 2,Sample Letter Description2,01-07-2012,03-21-2012,A. Datum Corporation,Completed,Received
Sample Letter Subject 3,Sample Letter Description3,06-20-2019,08-05-2019,A. Datum Corporation,Completed,Sent
Sample Letter Subject 4,Sample Letter Description4,09-08-2003,09-10-2003,A. Datum Corporation,Completed,Received
Sample Letter Subject 5,Sample Letter Description5,01-24-2008,03-30-2008,A. Datum Corporation,Completed,Sent
Sample Letter Subject 6,Sample Letter Description6,05-04-2024,07-01-2024,A. Datum Corporation,Completed,Received
Sample Letter Subject 7,Sample Letter Description7,11-12-2004,01-24-2005,A. Datum Corporation,Completed,Sent
Sample Letter Subject 8,Sample Letter Description8,01-13-2010,03-27-2010,A. Datum Corporation,Completed,Received
Sample Letter Subject 9,Sample Letter Description9,03-04-2009,05-26-2009,A. Datum Corporation,Completed,Sent
Sample Letter Subject 10,Sample Letter Description10,04-17-2019,06-21-2019,A. Datum Corporation,Completed,Received
Sample Letter Subject 11,Sample Letter Description11,04-04-2011,06-30-2011,A. Datum Corporation,Completed,Sent
Sample Letter Subject 12,Sample Letter Description12,12-31-2021,02-10-2022,A. Datum Corporation,Completed,Received
Sample Letter Subject 13,Sample Letter Description13,03-16-2006,04-20-2006,A. Datum Corporation,Completed,Sent
Sample Letter Subject 14,Sample Letter Description14,10-20-2007,11-15-2007,A. Datum Corporation,Completed,Received
Sample Letter Subject 15,Sample Letter Description15,05-11-2008,08-02-2008,A. Datum Corporation,Completed,Sent
Sample Letter Subject 16,Sample Letter Description16,10-11-2015,01-04-2016,A. Datum Corporation,Completed,Received
Sample Letter Subject 17,Sample Letter Description17,12-18-2014,01-03-2015,A. Datum Corporation,Completed,Sent
Sample Letter Subject 18,Sample Letter Description18,11-13-2021,02-08-2022,A. Datum Corporation,Completed,Received
Sample Letter Subject 19,Sample Letter Description19,07-15-2009,07-19-2009,A. Datum Corporation,Completed,Sent
Sample Letter Subject 20,Sample Letter Description20,12-17-2024,02-01-2025,A. Datum Corporation,Completed,Received
Sample Letter Subject 21,Sample Letter Description21,09-06-2008,11-12-2008,A. Datum Corporation,Completed,Sent
Sample Letter Subject 22,Sample Letter Description22,01-01-2003,02-02-2003,A. Datum Corporation,Completed,Received
Sample Letter Subject 23,Sample Letter Description23,03-09-2013,05-06-2013,A. Datum Corporation,Completed,Sent
Sample Letter Subject 24,Sample Letter Description24,08-17-2016,09-25-2016,A. Datum Corporation,Completed,Received
Sample Letter Subject 25,Sample Letter Description25,06-30-2005,07-14-2005,A. Datum Corporation,Completed,Sent
Sample Letter Subject 26,Sample Letter Description26,04-27-2013,05-02-2013,A. Datum Corporation,Completed,Received
Sample Letter Subject 27,Sample Letter Description27,08-01-2017,09-20-2017,A. Datum Corporation,Completed,Sent
Sample Letter Subject 28,Sample Letter Description28,09-21-2005,11-15-2005,A. Datum Corporation,Completed,Received
Sample Letter Subject 29,Sample Letter Description29,05-30-2011,06-27-2011,A. Datum Corporation,Completed,Sent
Sample Letter Subject 30,Sample Letter Description30,01-02-2011,03-02-2011,A. Datum Corporation,Completed,Received
Sample Letter Subject 31,Sample Letter Description31,04-28-2012,07-19-2012,A. Datum Corporation,Completed,Sent
Sample Letter Subject 32,Sample Letter Description32,12-25-2004,01-31-2005,A. Datum Corporation,Completed,Received
Sample Letter Subject 33,Sample Letter Description33,06-03-2014,07-21-2014,A. Datum Corporation,Completed,Sent
Sample Letter Subject 34,Sample Letter Description34,07-24-2011,09-15-2011,A. Datum Corporation,Completed,Received
Sample Letter Subject 35,Sample Letter Description35,01-24-2024,02-14-2024,A. Datum Corporation,Completed,Sent
Sample Letter Subject 36,Sample Letter Description36,11-11-2015,01-11-2016,A. Datum Corporation,Completed,Received
Sample Letter Subject 37,Sample Letter Description37,11-17-2021,01-16-2022,A. Datum Corporation,Completed,Sent
Sample Letter Subject 38,Sample Letter Description38,02-15-2022,04-05-2022,A. Datum Corporation,Completed,Received
Sample Letter Subject 39,Sample Letter Description39,05-12-2024,07-01-2024,A. Datum Corporation,Completed,Sent
Sample Letter Subject 40,Sample Letter Description40,07-03-2021,09-10-2021,A. Datum Corporation,Completed,Received
Sample Letter Subject 41,Sample Letter Description41,08-02-2006,09-17-2006,A. Datum Corporation,Completed,Sent
Sample Letter Subject 42,Sample Letter Description42,06-03-2018,06-04-2018,A. Datum Corporation,Completed,Received
Sample Letter Subject 43,Sample Letter Description43,11-25-2020,11-28-2020,A. Datum Corporation,Completed,Sent
Sample Letter Subject 44,Sample Letter Description44,02-13-2023,05-07-2023,A. Datum Corporation,Completed,Received
Sample Letter Subject 45,Sample Letter Description45,07-26-2020,08-21-2020,A. Datum Corporation,Completed,Sent
Sample Letter Subject 46,Sample Letter Description46,11-26-2021,12-10-2021,A. Datum Corporation,Completed,Received
Sample Letter Subject 47,Sample Letter Description47,10-02-2012,12-08-2012,A. Datum Corporation,Completed,Sent
Sample Letter Subject 48,Sample Letter Description48,08-26-2003,11-14-2003,A. Datum Corporation,Completed,Received
Sample Letter Subject 49,Sample Letter Description49,08-09-2021,08-18-2021,A. Datum Corporation,Completed,Sent
Sample Letter Subject 50,Sample Letter Description50,05-30-2020,06-05-2020,A. Datum Corporation,Completed,Received
Sample Letter Subject 51,Sample Letter Description51,08-08-2021,08-26-2021,A. Datum Corporation,Completed,Sent
Sample Letter Subject 52,Sample Letter Description52,08-08-2021,10-06-2021,A. Datum Corporation,Completed,Received
Sample Letter Subject 53,Sample Letter Description53,07-17-2021,10-14-2021,A. Datum Corporation,Completed,Sent
Sample Letter Subject 54,Sample Letter Description54,06-04-2016,07-12-2016,A. Datum Corporation,Completed,Received
Sample Letter Subject 55,Sample Letter Description55,11-08-2009,01-20-2010,A. Datum Corporation,Completed,Sent
Sample Letter Subject 56,Sample Letter Description56,12-06-2021,02-02-2022,A. Datum Corporation,Completed,Received
Sample Letter Subject 57,Sample Letter Description57,08-27-2020,09-27-2020,A. Datum Corporation,Completed,Sent
Sample Letter Subject 58,Sample Letter Description58,07-19-2007,09-28-2007,A. Datum Corporation,Completed,Received
Sample Letter Subject 59,Sample Letter Description59,07-27-2003,08-14-2003,A. Datum Corporation,Completed,Sent
Sample Letter Subject 60,Sample Letter Description60,06-27-2005,08-02-2005,A. Datum Corporation,Completed,Received
Sample Letter Subject 61,Sample Letter Description61,11-30-2024,02-05-2025,A. Datum Corporation,Completed,Sent
Sample Letter Subject 62,Sample Letter Description62,02-02-2023,04-10-2023,A. Datum Corporation,Completed,Received
Sample Letter Subject 63,Sample Letter Description63,02-03-2008,03-14-2008,A. Datum Corporation,Completed,Sent
Sample Letter Subject 64,Sample Letter Description64,08-30-2022,09-22-2022,A. Datum Corporation,Completed,Received
Sample Letter Subject 65,Sample Letter Description65,10-04-2014,10-14-2014,A. Datum Corporation,Completed,Sent
Sample Letter Subject 66,Sample Letter Description66,04-09-2023,07-02-2023,A. Datum Corporation,Completed,Received
Sample Letter Subject 67,Sample Letter Description67,05-24-2007,07-29-2007,A. Datum Corporation,Completed,Sent
Sample Letter Subject 68,Sample Letter Description68,05-22-2006,07-06-2006,A. Datum Corporation,Completed,Received
Sample Letter Subject 69,Sample Letter Description69,03-08-2011,03-21-2011,A. Datum Corporation,Completed,Sent
Sample Letter Subject 70,Sample Letter Description70,08-14-2012,11-09-2012,A. Datum Corporation,Completed,Received
Sample Letter Subject 71,Sample Letter Description71,10-05-2013,12-06-2013,A. Datum Corporation,Completed,Sent
Sample Letter Subject 72,Sample Letter Description72,06-08-2011,06-14-2011,A. Datum Corporation,Completed,Received
